# epoch train_loss train_accuracy valid_loss valid_accuracy class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
8.900000000000000000e+01 3.962371762783731960e-02 9.865625000000000089e-01 8.926919853687286244e-01 8.275000000000000133e-01 7.800000000000000266e-01 9.649999999999999689e-01 6.800000000000000488e-01 8.850000000000000089e-01
9.000000000000000000e+01 3.726098255836404749e-02 9.868749999999999467e-01 7.858994877338409957e-01 8.149999999999999467e-01 7.650000000000000133e-01 9.499999999999999556e-01 7.149999999999999689e-01 8.299999999999999600e-01
9.100000000000000000e+01 3.092414584680227424e-02 9.887500000000000178e-01 7.545743031799793110e-01 8.325000000000000178e-01 8.349999999999999645e-01 9.399999999999999467e-01 7.149999999999999689e-01 8.399999999999999689e-01
9.200000000000000000e+01 3.120450600865297061e-02 9.878124999999999822e-01 7.301008975505829390e-01 8.475000000000000311e-01 8.699999999999999956e-01 9.449999999999999512e-01 8.699999999999999956e-01 7.049999999999999600e-01
9.300000000000000000e+01 2.311915323924040519e-02 9.925000000000000488e-01 6.956177920103072676e-01 8.437500000000000000e-01 7.950000000000000400e-01 9.350000000000000533e-01 7.950000000000000400e-01 8.499999999999999778e-01
9.400000000000000000e+01 4.056150738557334767e-02 9.849999999999999867e-01 6.960763394832610862e-01 8.387499999999999956e-01 7.850000000000000311e-01 9.499999999999999556e-01 7.800000000000000266e-01 8.399999999999999689e-01
9.500000000000000000e+01 2.160762219049502247e-02 9.925000000000000488e-01 5.935283853113650920e-01 8.562499999999999556e-01 8.649999999999999911e-01 9.649999999999999689e-01 7.399999999999999911e-01 8.549999999999999822e-01
9.600000000000000000e+01 2.603215008799452182e-02 9.915625000000000133e-01 6.883947223424911055e-01 8.362500000000000488e-01 8.750000000000000000e-01 9.599999999999999645e-01 7.149999999999999689e-01 7.950000000000000400e-01
9.700000000000000000e+01 2.613227378518786365e-02 9.899999999999999911e-01 6.246678608655930054e-01 8.537500000000000089e-01 8.649999999999999911e-01 9.599999999999999645e-01 7.750000000000000222e-01 8.149999999999999467e-01
9.800000000000000000e+01 1.840496786986477520e-02 9.946874999999999467e-01 7.009554481506348189e-01 8.299999999999999600e-01 8.699999999999999956e-01 9.449999999999999512e-01 6.750000000000000444e-01 8.299999999999999600e-01
9.900000000000000000e+01 3.146647600777214421e-02 9.884374999999999689e-01 6.821674156188964888e-01 8.449999999999999734e-01 8.499999999999999778e-01 9.649999999999999689e-01 7.550000000000000044e-01 8.100000000000000533e-01
1.000000000000000000e+02 2.305853643629234354e-02 9.893750000000000044e-01 7.383998932689428418e-01 8.275000000000000133e-01 8.299999999999999600e-01 9.250000000000000444e-01 7.500000000000000000e-01 8.050000000000000488e-01
1.010000000000000000e+02 2.377948311157524613e-02 9.928124999999999867e-01 7.248510420322418213e-01 8.375000000000000222e-01 7.950000000000000400e-01 9.449999999999999512e-01 7.800000000000000266e-01 8.299999999999999600e-01
1.020000000000000000e+02 2.274096875567920353e-02 9.931250000000000355e-01 6.435446336865424666e-01 8.512499999999999512e-01 8.750000000000000000e-01 9.599999999999999645e-01 7.550000000000000044e-01 8.149999999999999467e-01
1.030000000000000000e+02 1.545695788488956127e-02 9.962499999999999689e-01 6.261458715796470731e-01 8.537500000000000089e-01 8.599999999999999867e-01 9.599999999999999645e-01 8.000000000000000444e-01 7.950000000000000400e-01
