# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
4.400000000000000000e+01 4.246168933708699966e-01 8.497400000000000508e-01 2.478801537150392142e-01 9.171000000000000263e-01 1.000000000000000056e-01 9.290000000000000480e-01 9.669999999999999707e-01 9.140000000000000346e-01 7.429999999999999938e-01 9.479999999999999538e-01 8.900000000000000133e-01 9.449999999999999512e-01 9.379999999999999449e-01 9.669999999999999707e-01 9.300000000000000488e-01
4.500000000000000000e+01 4.265781470019696653e-01 8.505399999999999627e-01 2.439879990411928379e-01 9.193999999999999950e-01 1.000000000000000056e-01 9.050000000000000266e-01 9.579999999999999627e-01 9.010000000000000231e-01 8.169999999999999485e-01 9.270000000000000462e-01 8.689999999999999947e-01 9.320000000000000506e-01 9.409999999999999476e-01 9.769999999999999796e-01 9.669999999999999707e-01
4.600000000000000000e+01 4.191098858698277807e-01 8.535199999999999454e-01 2.363242561432024047e-01 9.213000000000000078e-01 1.000000000000000056e-01 9.070000000000000284e-01 9.629999999999999671e-01 8.880000000000000115e-01 8.409999999999999698e-01 9.509999999999999565e-01 8.479999999999999760e-01 9.539999999999999591e-01 9.170000000000000373e-01 9.759999999999999787e-01 9.679999999999999716e-01
4.700000000000000000e+01 4.099400989563512510e-01 8.559200000000000141e-01 2.333673817662004490e-01 9.231000000000000316e-01 1.000000000000000056e-01 9.100000000000000311e-01 9.749999999999999778e-01 8.679999999999999938e-01 8.299999999999999600e-01 9.559999999999999609e-01 8.449999999999999734e-01 9.679999999999999716e-01 9.509999999999999565e-01 9.629999999999999671e-01 9.649999999999999689e-01
4.800000000000000000e+01 4.135946599684384162e-01 8.544800000000000173e-01 2.617255937391386178e-01 9.137999999999999456e-01 1.000000000000000056e-01 9.140000000000000346e-01 9.360000000000000542e-01 9.100000000000000311e-01 8.559999999999999831e-01 8.469999999999999751e-01 8.030000000000000471e-01 9.759999999999999787e-01 9.579999999999999627e-01 9.729999999999999760e-01 9.649999999999999689e-01
4.900000000000000000e+01 4.038008523965522789e-01 8.590600000000000458e-01 2.577081792169628183e-01 9.152000000000000135e-01 1.000000000000000056e-01 8.679999999999999938e-01 9.220000000000000417e-01 8.980000000000000204e-01 8.719999999999999973e-01 8.739999999999999991e-01 8.619999999999999885e-01 9.439999999999999503e-01 9.609999999999999654e-01 9.679999999999999716e-01 9.829999999999999849e-01
5.000000000000000000e+01 3.972148504811300329e-01 8.595000000000000417e-01 2.559724824425702039e-01 9.167999999999999483e-01 1.000000000000000056e-01 9.030000000000000249e-01 9.719999999999999751e-01 9.040000000000000258e-01 7.319999999999999840e-01 9.559999999999999609e-01 9.050000000000000266e-01 9.280000000000000471e-01 9.519999999999999574e-01 9.679999999999999716e-01 9.479999999999999538e-01
5.100000000000000000e+01 4.012692459428150449e-01 8.588599999999999568e-01 2.127942302511237338e-01 9.300000000000000488e-01 1.000000000000000056e-01 9.210000000000000409e-01 9.589999999999999636e-01 8.990000000000000213e-01 8.579999999999999849e-01 9.469999999999999529e-01 8.810000000000000053e-01 9.310000000000000497e-01 9.569999999999999618e-01 9.739999999999999769e-01 9.729999999999999760e-01
5.200000000000000000e+01 3.921890456160329053e-01 8.619999999999999885e-01 2.133773869731442618e-01 9.277999999999999581e-01 1.000000000000000056e-01 9.609999999999999654e-01 9.799999999999999822e-01 9.100000000000000311e-01 7.910000000000000364e-01 9.659999999999999698e-01 8.830000000000000071e-01 9.469999999999999529e-01 9.290000000000000480e-01 9.639999999999999680e-01 9.469999999999999529e-01
5.300000000000000000e+01 3.862471698794659458e-01 8.636000000000000343e-01 2.342246225343261323e-01 9.233999999999999986e-01 1.000000000000000056e-01 9.379999999999999449e-01 9.449999999999999512e-01 8.970000000000000195e-01 8.090000000000000524e-01 9.549999999999999600e-01 9.010000000000000231e-01 9.320000000000000506e-01 9.389999999999999458e-01 9.389999999999999458e-01 9.789999999999999813e-01
5.400000000000000000e+01 3.842081963272332423e-01 8.643600000000000172e-01 2.458449117333506295e-01 9.214999999999999858e-01 1.000000000000000056e-01 9.240000000000000435e-01 9.779999999999999805e-01 9.140000000000000346e-01 7.810000000000000275e-01 8.890000000000000124e-01 9.180000000000000382e-01 9.489999999999999547e-01 9.330000000000000515e-01 9.749999999999999778e-01 9.539999999999999591e-01
5.500000000000000000e+01 3.797308593101785257e-01 8.637000000000000233e-01 2.299783994583561864e-01 9.244999999999999885e-01 1.000000000000000056e-01 9.489999999999999547e-01 9.839999999999999858e-01 9.160000000000000364e-01 8.000000000000000444e-01 9.110000000000000320e-01 8.669999999999999929e-01 9.589999999999999636e-01 9.659999999999999698e-01 9.429999999999999494e-01 9.499999999999999556e-01
5.600000000000000000e+01 3.741783100494344150e-01 8.680200000000000138e-01 2.301202019715247182e-01 9.261000000000000343e-01 1.000000000000000056e-01 9.100000000000000311e-01 9.629999999999999671e-01 9.120000000000000329e-01 8.940000000000000169e-01 9.489999999999999547e-01 7.730000000000000204e-01 9.499999999999999556e-01 9.579999999999999627e-01 9.829999999999999849e-01 9.689999999999999725e-01
5.700000000000000000e+01 3.766906021242712455e-01 8.689599999999999547e-01 2.029632245229122667e-01 9.324000000000000066e-01 1.000000000000000056e-01 9.429999999999999494e-01 9.659999999999999698e-01 8.990000000000000213e-01 8.499999999999999778e-01 9.459999999999999520e-01 8.589999999999999858e-01 9.409999999999999476e-01 9.679999999999999716e-01 9.789999999999999813e-01 9.729999999999999760e-01
5.800000000000000000e+01 3.682464233248644025e-01 8.686199999999999477e-01 2.181211538038576592e-01 9.277999999999999581e-01 1.000000000000000056e-01 9.270000000000000462e-01 9.889999999999999902e-01 9.090000000000000302e-01 8.659999999999999920e-01 9.599999999999999645e-01 8.609999999999999876e-01 9.409999999999999476e-01 9.389999999999999458e-01 9.439999999999999503e-01 9.419999999999999485e-01
5.900000000000000000e+01 3.636057740643439118e-01 8.723800000000000443e-01 2.062203709791881612e-01 9.317999999999999616e-01 1.000000000000000056e-01 9.589999999999999636e-01 9.829999999999999849e-01 9.250000000000000444e-01 8.750000000000000000e-01 9.210000000000000409e-01 8.409999999999999698e-01 9.310000000000000497e-01 9.649999999999999689e-01 9.589999999999999636e-01 9.589999999999999636e-01
